User,Tweets Ago,Date,Text,Compound,Positive,Negative,Neutral
BBCBreaking,13,Thu Sep 27 20:29:32 +0000 2018,Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,-0.5859,0.104,0.283,0.613
BBCBreaking,12,Fri Sep 28 09:46:20 +0000 2018,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ",-0.743,0.0,0.283,0.717
BBCBreaking,11,Fri Sep 28 12:54:18 +0000 2018,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm,0.0,0.0,0.0,1.0
BBCBreaking,10,Fri Sep 28 15:55:27 +0000 2018,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0",-0.296,0.0,0.128,0.872
BBCBreaking,9,Fri Sep 28 17:08:56 +0000 2018,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF",0.0,0.0,0.0,1.0
BBCBreaking,8,Fri Sep 28 17:44:43 +0000 2018,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG",0.34,0.098,0.0,0.902
BBCBreaking,7,Fri Sep 28 18:04:12 +0000 2018,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA,0.5719,0.227,0.0,0.773
BBCBreaking,6,Fri Sep 28 21:09:09 +0000 2018,US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over s… https://t.co/ZgqnxO5Gox,0.5574,0.167,0.0,0.833
BBCBreaking,5,Sat Sep 29 07:33:05 +0000 2018,At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprVdGRuCg,-0.5574,0.0,0.167,0.833
BBCBreaking,4,Sat Sep 29 14:18:39 +0000 2018,Senior Tory MPs have had their personal details exposed due to security flaw in Conservative conference app https://t.co/AF063jzOxD,0.2732,0.122,0.066,0.812
BBCBreaking,3,Sun Sep 30 06:52:14 +0000 2018,At least 832 people now known to have died in Indonesian earthquake and tsunami - emergency officials https://t.co/uBzqMfoKLJ,-0.7351,0.0,0.292,0.708
BBCBreaking,2,Sun Sep 30 15:02:11 +0000 2018,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",0.7067,0.204,0.0,0.796
BBCBreaking,1,Mon Oct 01 12:16:14 +0000 2018,"French singer and songwriter Charles Aznavour has died aged 94 after a career lasting more than 80 years, a spokesm… https://t.co/rPDyux6inR",-0.5574,0.0,0.167,0.833
CBSNews,100,Mon Oct 01 01:30:01 +0000 2018,"Car explodes in Allentown, Pennsylvania, leaving 3 dead https://t.co/v7eX51EYqH https://t.co/zWt2m5ooaO",-0.6486,0.0,0.35,0.65
CBSNews,99,Mon Oct 01 01:49:47 +0000 2018,Sen. Jeff Flake and Sen. Chris Coons say why they decided to delay Brett Kavanaugh's confirmation on @60Minutes… https://t.co/6SDGio6YxI,-0.3182,0.0,0.113,0.887
CBSNews,98,Mon Oct 01 02:09:50 +0000 2018,You probably heard that the Miss America pageant dropped the annual bathing suit competition this year. But you may… https://t.co/ybji9VrgQ2,-0.0772,0.0,0.064,0.936
CBSNews,97,Mon Oct 01 02:30:19 +0000 2018,. @PaulMcCartney guesses what the biggest misconception about him is—and reveals he’s just like everyone else on th… https://t.co/kx7iBNlAjo,0.3612,0.128,0.0,0.872
CBSNews,96,Mon Oct 01 02:49:59 +0000 2018,California Gov. Jerry Brown signed the nation's toughest net neutrality measure Sunday and the Justice Department s… https://t.co/2kxXTG5fzn,0.4767,0.164,0.063,0.773
CBSNews,95,Mon Oct 01 03:02:06 +0000 2018,"Surfer dies from brain eating amoeba after visiting Waco, Texas, resort https://t.co/D9EdAGo7T3 https://t.co/uZVd2NqCQP",0.0,0.0,0.0,1.0
CBSNews,94,Mon Oct 01 03:03:04 +0000 2018,A nation is tasked: Whom to believe? https://t.co/a6kxwO7bgk https://t.co/DL64m6XOeh,0.0,0.0,0.0,1.0
CBSNews,93,Mon Oct 01 03:18:03 +0000 2018,2 children found dead in hot vehicles hours apart in Florida https://t.co/yN3WhrNdLm https://t.co/M5LSdJxfNT,-0.6486,0.0,0.281,0.719
CBSNews,92,Mon Oct 01 03:28:05 +0000 2018,"""Belligerent and aggressive"": Brett Kavanaugh's Yale classmate says he was heavy drinker https://t.co/eDA0WCrYhB https://t.co/sJeVPKEE84",0.0,0.0,0.0,1.0
CBSNews,91,Mon Oct 01 03:35:18 +0000 2018,Surveillance video shows deadly ambush of rapper XXXTentacion in Florida https://t.co/KXkmxfTyIl https://t.co/wZ1si4W97E,0.0,0.0,0.0,1.0
CBSNews,90,Mon Oct 01 03:48:03 +0000 2018,"Senate panel refers ""apparent false statements"" about Kavanaugh for criminal investigation https://t.co/mIormapUyK https://t.co/GgDnmuVZhl",-0.5267,0.0,0.221,0.779
CBSNews,89,Mon Oct 01 04:03:03 +0000 2018,Jim Gaffigan on losing his appendix https://t.co/k5v1F6NjNa https://t.co/cAmRj22ujs,-0.3818,0.0,0.271,0.729
CBSNews,88,Mon Oct 01 04:18:03 +0000 2018,Christine Blasey Ford's friend clarifies statement about alleged assault by Brett Kavanaugh https://t.co/AgFjKJ8p5Z https://t.co/fz4eD21vdj,0.0772,0.256,0.191,0.553
CBSNews,87,Mon Oct 01 04:24:05 +0000 2018,"U.S., Canada and Mexico reach deal, paving way to freer markets and fairer trade https://t.co/7Y1jYrPPpK https://t.co/nu5S8VLVrH",0.296,0.186,0.0,0.814
CBSNews,86,Mon Oct 01 04:33:03 +0000 2018,"White House adviser Kellyanne Conway: ""I'm a victim of sexual assault"" https://t.co/N9EUADbeW9 https://t.co/HQc18v1HiQ",-0.7096,0.0,0.371,0.629
CBSNews,85,Mon Oct 01 04:48:03 +0000 2018,"Kanye West goes on pro-Trump rant after ""SNL"" performance https://t.co/Coud24XQxL https://t.co/Lqfcj8Ake4",-0.34,0.0,0.194,0.806
CBSNews,84,Mon Oct 01 05:03:03 +0000 2018,Ted Turner: Never a quitter https://t.co/rBV9X1rR6P https://t.co/6MnyvTlGQj,0.0,0.0,0.0,1.0
CBSNews,83,Mon Oct 01 05:18:04 +0000 2018,Brett Kavanaugh's attack on Democrats could pose risk to Supreme Court https://t.co/W64jjnUpYj https://t.co/tWXFykygzT,-0.1531,0.191,0.277,0.532
CBSNews,82,Mon Oct 01 05:33:02 +0000 2018,Ohio woman goes missing while hiking in Great Smoky Mountain National Park https://t.co/GAVGZ2SGWY https://t.co/WXYRyIv0lb,0.4404,0.224,0.12,0.656
